"Position (mm) Run #2";"Position (mm) Run #3"
-193,5113;-181,3426
-193,3733;-178,1018
-192,6968;-174,5059
-191,8712;-170,7509
-190,5187;-166,6405
-188,8226;-162,3716
-186,7831;-157,7339
-184,4004;-153,1094
-181,6744;-148,3137
-178,5932;-143,3330
-175,3527;-138,3522
-171,7569;-133,3714
-168,0022;-128,3906
-163,8792;-123,3950
-159,7691;-118,6008
-155,4877;-113,6047
-151,0215;-108,7799
-146,5689;-104,1264
-141,9451;-99,6602
-137,1217;-95,1616
-132,4983;-91,0222
-127,6744;-87,0375
-123,0515;-83,4124
-118,2272;-79,9419
-113,5742;-76,8144
-109,1080;-74,0474
-104,6260;-71,4345
-100,2995;-69,1649
-96,3480;-67,2387
-92,3639;-65,6914
-88,7226;-64,2507
-85,4410;-61,4757
-82,3309;-60,7340
-79,3754;-60,5081
-76,7630;-60,8162
-74,5112;-61,4506
-72,4137;-62,6371
-70,6597;-63,9603
-69,2317;-65,8179
-68,3543;-68,0025
-67,6312;-70,7393
-67,2344;-73,4751
-67,3711;-78,4004
-67,8520;-82,1886
-68,6771;-85,9767
-69,8465;-89,7319
-71,3603;-93,8485
-73,2360;-98,1378
-75,2495;-102,5997
-77,8315;-107,2500
-80,3625;-111,8694
-83,4612;-116,8798
-86,5267;-121,6877
-89,9371;-126,6829
-93,7253;-131,6781
-97,4812;-136,6876
-101,5982;-141,5103
-105,9036;-146,3468
-110,1934;-151,0105
-114,6560;-155,5016
-119,3213;-159,8069
-123,7843;-164,1251
-128,4492;-168,2833
-132,9270;-172,0838
-137,4048;-175,7119
-141,8826;-179,1794
-146,3878;-182,3020
-150,5073;-185,0679
-154,8392;-187,6847
-158,7998;-189,7730
-162,7732;-191,5167
-166,5867;-192,9159
-170,0427;-193,9821
-173,3261;-194,5207
-176,4615;-194,7040
-179,0554;-194,7378
-181,4890;-194,2444
-183,5779;-193,4073
-185,3105;-192,2264
-186,8941;-190,7020
-187,9380;-188,8457
-188,8329;-186,4394
-189,1885;-184,0684
-189,3835;-181,1707
-189,2346;-177,9179
-188,7418;-174,5059
-187,9168;-170,7385
-186,5530;-166,7997
-185,0292;-162,6895
-183,1500;-158,4079
-181,1230;-153,9550
-178,5570;-149,3172
-175,8194;-144,6932
-172,9226;-139,8840
-169,6702;-135,0889
-166,2463;-130,1081
-162,6509;-125,1274
-158,8841;-120,1466
-154,9459;-115,1658
-150,8228;-110,2778
-146,7134;-104,1580
-142,4326;-99,3167
-137,9665;-94,8180
-133,5003;-90,6785
-129,0486;-86,6938
-124,4256;-83,0688
-119,7212;-79,6152
-113,5589;-76,2988
-109,2642;-73,5317
-104,9382;-70,9362
-100,9708;-68,4773
-97,1748;-66,5686
-93,5503;-64,7963
-90,0973;-63,5571
-86,7991;-62,6616
-83,8608;-62,0920
-81,0941;-62,0741
-78,4819;-62,1925
-76,2130;-62,8449
-74,3048;-63,8416
-72,5336;-65,1827
-71,2951;-66,8682
-70,4004;-68,9159
-69,8670;-71,1010
-69,4705;-73,8379
-69,6250;-76,7300
-69,9340;-79,9841
-70,6047;-83,3939
-71,4126;-87,1654
-72,7718;-91,1095
-74,2859;-95,1937
-76,1618;-99,7318
-78,1928;-105,6684
-80,5686;-110,6637
-83,3059;-115,6589
-86,1155;-120,6691
-90,2155;-125,4772
-94,7584;-130,4869
-98,5466;-135,3096
-102,3029;-140,1464
-106,4516;-144,7967
-110,3967;-149,4605
-114,5296;-153,9383
-118,6475;-158,4423
-122,9677;-162,5753
-127,0860;-166,7336
-131,4059;-170,5342
-135,5246;-174,1623
-139,8440;-177,6300
-143,9769;-180,7647
-148,1235;-183,3466
-152,0975;-185,9637
-155,8856;-188,0521
-159,6998;-189,7960
-163,1561;-191,1954
-166,4399;-192,2391
-169,5638;-193,1333
-172,3304;-193,5000
-174,9368;-193,5226
-177,1864;-193,2013
-179,2757;-192,5362
-181,0205;-191,5273
-182,4089;-190,1863
-183,6369;-188,3185
-184,5207;-186,0956
-185,0485;-183,7247
-185,4277;-180,8151
-185,2792;-177,7461
-184,7868;-174,3218
-183,9388;-170,7260
-182,9426;-166,9588
-181,4072;-163,0330
-179,7121;-158,7384
-177,6614;-154,4703
-175,4513;-149,8325
-172,8856;-145,1948
-170,1482;-140,5710
-167,2520;-135,7617
-163,9871;-130,9669
-160,7481;-125,9714
-157,1530;-121,1622
-153,3731;-116,3377
-149,6068;-111,6846
-145,6690;-107,2184
-141,5460;-102,7522
-137,4370;-98,2539
-133,1281;-94,1634
-129,0050;-89,7467
-124,8820;-84,6152
-120,7589;-81,1618
-116,6056;-77,8798
-112,8411;-74,7348
-108,8741;-72,1220
-105,0785;-69,8525
-101,4544;-67,9440
-98,0018;-66,1718
-94,7369;-64,9505
-91,4720;-63,8654
-88,3064;-63,3138
-83,8272;-63,1062
-81,4040;-63,2425
-79,1354;-63,7052
-77,1931;-64,7197
-75,8004;-65,8887
-74,5623;-67,4022
-73,6679;-69,2601
-73,1347;-71,4627
-72,7386;-74,0273
-72,8933;-76,7300
-73,2200;-79,9841
-73,6841;-83,3939
-74,6992;-87,1321
-75,8692;-91,4046
-77,3836;-96,0711
-79,2596;-100,5329
-81,2910;-105,1832
-83,6839;-109,8180
-86,2491;-114,6560
-88,9702;-119,2912
-92,0526;-124,1140
-95,3075;-128,9367
-98,7348;-133,7595
-102,3347;-138,5963
-106,1229;-143,2327
-109,8800;-148,0827
-113,9517;-152,5605
-118,8197;-157,0647
-123,1251;-161,1976
-127,4451;-165,3561
-131,5781;-169,1568
-135,7110;-172,7973
-139,8580;-176,0928
-143,8186;-179,0313
-147,8064;-181,7975
-151,4221;-184,4147
-155,0512;-186,4917
-158,5077;-188,4194
-161,8047;-189,8075
-164,7439;-191,0348
-167,5107;-191,9292
-170,1052;-192,2846
-172,5396;-192,4907
-174,6171;-192,1695
-176,5345;-191,5045
-178,0953;-190,4957
-179,4959;-189,1434
-180,5521;-187,4474
-181,2522;-185,4081
-181,8040;-183,0255
-181,8159;-180,2876
-181,6677;-177,3782
-181,1757;-174,3095
-180,3398;-170,8978
-179,1483;-167,1306
-177,7849;-163,1792
-176,2741;-159,2537
-174,2114;-154,9723
-172,1734;-150,5196
-169,7796;-145,8819
-167,2267;-141,2580
-164,3180;-136,4346
-161,2377;-131,8113
-157,9859;-127,0020
-154,5493;-122,1779
-151,1396;-117,5401
-147,3597;-112,9024
-143,5937;-108,2335
-139,6282;-103,9389
-135,8626;-99,6283
-131,8968;-95,4890
-128,1315;-91,5376
-124,1653;-87,5695
-120,3854;-83,8065
-116,6056;-79,8040
-112,8104;-76,2817
-109,1867;-73,6863
-105,7501;-71,2452
-102,2977;-69,1298
-99,0007;-67,5649
-96,0792;-66,1364
-93,1250;-65,2589
-90,5305;-64,5178
-88,0911;-64,3280
-86,0116;-64,2747
-84,0871;-64,7552
-82,5061;-65,5977
-81,2856;-66,5770
-80,2369;-68,0905
-79,3431;-69,9661
-78,7931;-71,9791
-78,6040;-74,5438
-78,5699;-77,2637
-78,8798;-80,3285
-79,5339;-83,7719
-80,5492;-87,1821
-81,7198;-90,9373
-83,2349;-95,0703
-85,1112;-99,1872
-87,1598;-103,4292
-89,3641;-108,3776
-91,9297;-113,9517
-94,6676;-118,7745
-97,5780;-123,6121
-100,6767;-128,2478
-103,7439;-133,0849
-107,1873;-137,7210
-110,6153;-142,5715
-114,2311;-147,0494
-117,8318;-151,5406
-121,6199;-155,8592
-125,4081;-159,9922
-129,1963;-164,1635
-132,9844;-167,7793
-136,7726;-171,4200
-140,5748;-174,7156
-144,1906;-177,6542
-147,8336;-180,4204
-151,1047;-183,0379
-154,3758;-185,1149
-157,6731;-187,0312
-160,6126;-188,6031
-163,3796;-189,8305
-165,9743;-190,7251
