"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3"
-0,1720;-58,4621;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6520;-120,0560
-0,1720;-58,6341;-120,0560
-0,1720;-58,8419;-120,0560
-0,1720;-58,6341;-120,0560
-0,1720;-58,8240;-120,0560
-0,1512;-58,8240;-120,0560
-0,3440;-58,8240;-120,0560
-0,3440;-58,8061;-120,0560
-0,3648;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1720;-58,9960;-120,0560
-0,1928;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-59,0139;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
-0,0208;-58,8240;-120,0560
0,1720;-58,8240;-120,0560
0,1720;-58,8419;-120,0560
0,1720;-58,6520;-120,0560
0,1720;-58,6520;-120,0560
0,1720;-58,6520;-120,0560
0,1720;-58,6699;-120,0560
0,1720;-58,4800;-120,0560
0,1720;-58,4800;-120,0560
0,1720;-58,4800;-120,0560
0,1720;-58,4800;-120,0560
0,1720;-58,4800;-120,0412
0,1720;-58,4800;-120,2280
0,1720;-58,4800;-120,2280
0,1720;-58,4979;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3080;-120,2280
0,1720;-58,3259;-120,2280
0,1720;-58,1360;-120,2280
0,1720;-58,1360;-120,2280
0,1720;-58,1360;-120,2280
0,1720;-58,1360;-120,2280
0,1928;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1181;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0208;-58,3080;-120,2280
-0,1720;-58,3080;-120,2280
-0,1720;-58,3080;-120,2280
-0,1720;-58,3080;-120,2280
-0,1720;-58,2901;-120,2280
-0,1720;-58,4800;-120,2280
-0,1720;-58,4800;-120,2280
-0,1720;-58,4800;-120,2280
-0,1720;-58,4800;-120,2280
-0,1720;-58,4621;-120,2280
-0,1720;-58,6520;-120,2280
-0,1720;-58,6520;-120,2280
-0,1928;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6341;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8061;-120,2428
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-58,9960;-120,0560
0,0000;-59,0139;-120,0560
0,0000;-58,8061;-120,0560
0,0000;-59,0139;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8240;-120,0560
0,0000;-58,8419;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6520;-120,0560
0,0000;-58,6699;-120,0560
0,0000;-58,4800;-120,0560
0,0000;-58,4800;-120,0560
0,0000;-58,4800;-120,0560
0,0000;-58,4979;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3080;-120,0560
0,0000;-58,3259;-120,0560
0,0000;-58,1360;-120,0560
0,0000;-58,1360;-120,0412
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1360;-120,2280
0,0000;-58,1181;-120,2280
0,0000;-58,3259;-120,2280
0,0000;-58,1181;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,3080;-120,2280
0,0000;-58,2901;-120,2280
0,0000;-58,4800;-120,2280
0,0000;-58,4800;-120,2280
0,0000;-58,4800;-120,2280
0,0000;-58,4800;-120,2280
0,0000;-58,4621;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6520;-120,2280
0,0000;-58,6341;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
0,0000;-58,8240;-120,2280
-0,0208;-58,8240;-120,2280
0,1720;-58,8240;-120,2280
0,1720;-58,8061;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9781;-120,2280
0,1720;-59,1680;-120,2280
0,1720;-59,1680;-120,2280
0,1720;-59,1680;-120,2280
0,1720;-59,1680;-120,2280
0,1720;-59,1680;-120,2280
0,1720;-59,1858;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2280
0,1720;-58,9960;-120,2428
0,1720;-58,9960;-120,0560
0,1720;-58,9960;-120,0560
0,1928;-58,9960;-120,0560
