"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13";"Position (mm) Run #14"
-180,8510;-105,5617;-137,8510;-93,2501;-81,1724;-187,5591;-112,5648;-87,7413;-178,2828;-215,0000;-126,6731;-149,8385;-92,3556;-145,4698
-177,2791;-104,3440;-132,7274;-98,4178;-84,8217;-188,9587;-111,8744;-83,9447;-172,1267;-215,0410;-121,7370;-158,4444;-87,0319;-141,7039
-173,1930;-101,2826;-127,2322;-103,5698;-88,0430;-190,0255;-109,0935;-80,3026;-165,6284;-214,3736;-116,3024;-164,8202;-81,6744;-137,7524
-168,5553;-97,8943;-121,7370;-108,8945;-91,8312;-190,5531;-106,6403;-77,0205;-158,7622;-213,3832;-109,9978;-171,2333;-76,6764;-133,8152
-163,9431;-93,8125;-116,2266;-114,4073;-95,6031;-190,9200;-104,7336;-73,8928;-151,9093;-211,6849;-105,1728;-177,1035;-71,8150;-129,6777
-158,9623;-91,2345;-110,9183;-119,9051;-99,5476;-190,9543;-103,0144;-71,1255;-144,8717;-209,6536;-100,5191;-182,8245;-67,5028;-125,7262
-154,0081;-88,6233;-105,5015;-125,6052;-103,6489;-190,4499;-101,2634;-68,4948;-137,8341;-207,0968;-96,0368;-188,0154;-63,3442;-121,7748
-148,6843;-86,3554;-99,0532;-131,1036;-108,1268;-189,7850;-99,8880;-66,3967;-130,7821;-204,2076;-91,7258;-192,8609;-59,5643;-117,8233
-143,3606;-84,4645;-93,6969;-136,8031;-112,6046;-188,7880;-98,4965;-64,6598;-123,9306;-200,7930;-87,5695;-197,3721;-55,8754;-113,8566
-138,0509;-82,5229;-88,6831;-142,3298;-117,0672;-187,2523;-97,2606;-63,0590;-116,8779;-197,0354;-83,7729;-201,3436;-51,0351;-110,0768
-132,5557;-81,1475;-84,0118;-147,6701;-121,7175;-185,5566;-96,4009;-61,9916;-109,9962;-192,9463;-80,1307;-205,1640;-48,2110;-106,2812
-127,0605;-79,7210;-79,6832;-153,0238;-126,3678;-183,5174;-95,4438;-61,2679;-103,2855;-188,3201;-76,8487;-208,4669;-46,1109;-102,6572
-121,5504;-78,8442;-75,6974;-158,2046;-131,0181;-181,1350;-95,5834;-60,8880;-96,7457;-183,5345;-73,7036;-211,2420;-44,3354;-99,2046
-116,2569;-78,1393;-72,0718;-163,2256;-135,6684;-178,3972;-96,1642;-60,8521;-90,3771;-178,3943;-71,1081;-213,6826;-43,0565;-95,9235
-110,6675;-77,5720;-68,5826;-167,8758;-140,3326;-175,5001;-95,9760;-61,1423;-84,1627;-173,0951;-68,6492;-215,6063;-42,5029;-92,7976
-104,0178;-77,5549;-65,6257;-172,5509;-144,8242;-172,2476;-95,9598;-61,9846;-78,3075;-167,4411;-66,7406;-217,0133;-42,2742;-90,0314
-98,8334;-77,7098;-63,0119;-176,8806;-149,1296;-168,8110;-96,1156;-62,9634;-72,6062;-161,6159;-64,9682;-217,9139;-42,5617;-87,4533
-94,0242;-78,0025;-60,7415;-180,8531;-153,4483;-165,3999;-96,4435;-64,4765;-67,2297;-155,6196;-63,7468;-218,1061;-43,3842;-84,8585
-89,1654;-78,8457;-58,8145;-184,6648;-157,5944;-161,6330;-96,9434;-66,3342;-62,3847;-149,4387;-62,6616;-217,9644;-44,5323;-82,4185
-84,8707;-79,8610;-57,2309;-188,1315;-161,5679;-157,6946;-97,6154;-68,5365;-57,9004;-143,2717;-62,1099;-217,3170;-46,1971;-80,3218
-80,5422;-81,0315;-55,9910;-191,2531;-165,3688;-153,5848;-98,4596;-71,1010;-53,5875;-136,9194;-61,9021;-215,9619;-48,3974;-78,5856
-76,5565;-82,5127;-55,0947;-194,0412;-168,9971;-149,3037;-99,4759;-73,8206;-49,4645;-130,5672;-62,0383;-214,2736;-50,9424;-76,9354
-72,9136;-84,6663;-54,5240;-196,3010;-172,4530;-144,9748;-100,6803;-76,8850;-45,1917;-124,2149;-62,5187;-212,0806;-53,8140;-76,4195
-69,6312;-87,8150;-54,4875;-198,2163;-175,7607;-138,6676;-101,8529;-80,3115;-42,3665;-117,8476;-63,3432;-209,1696;-57,2211;-75,8520
-66,4850;-90,4134;-54,7767;-199,7980;-178,5149;-134,0156;-103,4016;-83,8936;-40,2658;-111,6667;-64,4943;-206,1084;-60,9733;-75,8520
-63,8714;-92,7904;-55,6005;-200,8522;-181,3049;-129,5494;-104,9345;-87,8376;-38,4704;-105,4545;-66,1975;-202,5219;-65,0708;-75,8176
-61,6189;-95,5446;-56,7504;-201,5622;-183,5542;-125,0685;-106,6397;-91,9541;-37,4005;-99,6164;-68,0553;-198,6036;-69,5135;-76,1444
-59,5022;-98,2827;-58,4351;-201,9389;-185,6546;-120,7738;-108,5172;-96,2595;-36,6360;-93,7458;-70,2403;-194,1487;-74,3190;-76,6262
-57,9368;-101,1932;-60,4464;-201,7887;-187,2149;-116,4944;-110,5824;-100,5329;-36,5977;-88,2340;-72,9772;-189,5340;-79,2801;-77,4693
-56,4887;-104,2762;-63,0105;-201,3056;-188,6262;-112,0128;-112,6477;-105,1674;-36,8843;-82,8934;-75,8864;-184,5767;-84,5868;-78,4504
-55,7826;-107,5317;-65,7293;-200,2958;-189,5094;-107,6870;-114,6976;-109,9902;-37,6680;-77,7070;-78,9340;-179,2769;-90,2722;-79,9991
-55,2120;-110,9751;-68,7929;-198,9425;-190,0370;-103,7355;-116,9199;-114,8129;-39,1786;-72,8631;-82,5498;-173,6226;-95,9414;-81,4970
-55,1573;-114,4186;-72,2190;-197,2456;-190,4155;-99,7681;-119,3447;-119,6207;-40,9959;-68,3793;-86,1322;-167,8097;-101,7834;-83,5622
-55,6552;-117,8620;-75,8176;-195,2165;-190,2664;-95,9559;-121,5672;-124,6159;-43,5213;-64,2268;-90,0928;-161,6417;-107,7983;-85,5940
-56,2706;-121,2905;-79,5717;-192,6498;-189,7735;-92,5193;-123,9769;-129,6257;-46,5827;-58,3436;-94,0370;-155,2894;-114,0168;-87,9871
-57,6290;-124,9063;-83,6878;-189,9344;-188,9714;-89,0662;-126,3719;-134,3627;-49,9706;-54,6624;-98,1378;-148,9507;-120,0323;-90,5526
-59,1236;-128,5367;-87,9599;-186,6928;-187,2755;-85,7680;-128,9684;-140,2486;-53,7296;-51,6857;-102,6156;-142,4410;-126,2355;-93,2904
-61,1529;-131,9657;-92,6102;-183,0964;-185,1893;-82,8296;-131,3636;-145,8026;-59,6777;-49,2424;-107,0778;-135,7318;-132,4531;-96,2007
-63,5269;-135,5957;-97,2282;-179,3526;-183,4938;-80,0628;-133,9599;-150,8248;-64,6552;-47,1051;-111,7280;-129,2082;-138,4836;-99,2674
-66,2458;-139,0392;-102,2075;-175,0580;-181,4430;-77,4335;-136,3696;-155,4883;-69,8054;-45,6922;-116,3327;-122,6846;-144,5279;-102,7109
-69,3095;-142,4965;-107,3753;-170,7882;-179,2325;-75,3535;-138,7933;-159,9792;-75,1284;-44,6043;-121,4407;-116,1459;-150,3859;-106,1386
-72,7355;-145,7676;-112,5430;-166,1632;-176,6787;-73,4279;-141,0168;-164,2973;-80,6073;-44,0320;-127,3719;-109,7936;-156,2571;-109,7389
-76,3169;-149,0523;-117,6957;-161,3668;-173,7695;-71,8632;-143,4542;-168,4555;-86,4485;-43,9944;-132,3671;-103,4098;-161,9424;-113,5270
-80,2435;-152,1511;-123,0359;-156,3992;-170,6638;-70,4179;-145,5057;-172,2560;-92,4791;-44,2821;-137,3907;-97,4003;-167,5899;-117,3001
-84,5489;-155,2763;-128,3762;-151,2603;-167,7549;-69,7300;-147,7704;-175,8962;-98,4775;-45,1048;-142,0270;-91,3580;-173,8670;-121,2606
-88,8211;-158,0305;-133,7308;-145,9366;-164,7509;-68,9720;-149,6634;-179,1794;-104,8375;-46,2345;-146,8771;-85,6747;-179,0709;-125,2212
-93,4550;-160,8107;-138,8986;-140,6128;-160,4562;-68,9720;-151,5564;-182,3020;-111,3859;-48,0718;-151,3684;-80,1625;-183,7449;-129,1817
-98,2617;-163,2332;-143,9834;-135,3033;-156,1484;-68,9194;-153,4761;-185,0797;-117,9192;-50,4260;-155,6870;-74,7871;-188,0735;-133,1423
-103,2569;-165,4834;-150,2676;-129,8081;-152,0388;-69,4004;-155,0248;-187,5010;-124,6551;-53,3158;-159,8330;-69,9429;-192,0568;-137,1170
-108,2366;-167,5739;-155,4619;-124,3129;-147,7441;-70,2431;-156,5867;-189,7730;-131,1891;-56,3686;-163,8063;-65,4236;-195,7063;-140,9052
-113,3890;-169,3073;-160,2976;-118,8177;-143,4495;-71,2406;-157,9763;-191,5167;-137,9243;-61,8344;-167,6198;-61,4363;-198,8272;-144,6933
-118,7293;-170,8684;-164,9734;-113,3224;-139,1689;-72,5997;-159,1938;-192,9159;-144,4866;-65,9496;-171,0757;-57,7920;-201,6032;-148,5087
-124,0103;-172,2697;-169,2913;-107,8895;-134,6885;-74,0965;-160,2391;-193,9708;-150,8624;-70,2200;-174,3591;-54,4723;-204,0453;-151,9521
