"Position (mm) Run #1";"Position (mm) Run #2"
60,3847;33,0240
58,4749;33,0240
56,7873;33,0669
54,7386;32,7229
52,5175;32,4217
50,1241;31,7336
47,5422;31,0882
44,9923;30,0772
42,0658;28,8727
39,1393;27,7107
36,2440;26,1620
32,9729;24,6344
29,7171;22,9135
26,2736;21,2135
22,8302;19,3413
19,4015;17,2760
15,7857;15,2108
12,1843;13,1660
8,3819;10,9286
4,7802;8,6709
0,9782;6,6459
-2,6240;4,2362
-6,4256;1,8066
-10,0414;-0,4110
-13,6572;-2,8207
-17,2859;-5,2499
-20,7294;-7,4679
-24,1728;-9,9163
-27,6286;-11,9623
-30,8998;-14,2189
-34,1829;-16,3031
-37,2936;-18,1961
-40,2201;-20,1080
-43,1582;-21,8289
-45,9354;-23,5684
-48,3451;-25,1171
-50,7660;-26,7027
-53,0146;-27,9071
-55,0908;-29,1299
-56,9948;-30,1988
-58,7265;-30,8870
-60,2967;-31,6115
-61,5011;-31,9556
-62,7268;-32,3360
-63,5871;-32,3360
-64,4684;-32,3542
-64,9950;-32,2004
-65,3600;-31,8746
-65,3600;-31,3769
-65,3810;-30,7074
-65,0475;-29,8659
-64,5422;-28,8342
-63,8754;-27,8393
-62,8438;-26,4639
-61,8334;-25,1070
-60,4687;-23,5783
-58,9214;-21,8778
-57,3959;-19,9869
-55,5159;-18,1148
-53,4642;-16,0520
-51,2409;-13,9893
-48,8346;-11,9265
-46,4511;-9,8831
-43,7013;-7,6485
-40,9632;-5,4140
-38,0536;-3,1794
-34,9604;-0,9449
-31,8672;1,2897
-28,7986;3,5043
-25,3495;5,9508
-22,0973;8,0135
-18,6735;10,0763
-15,0653;12,1390
-11,4439;14,2223
-8,0207;16,1133
-4,4125;18,0249
-0,8180;19,7441
2,9896;21,4841
6,4121;23,0523
10,0203;24,4488
13,6430;25,6524
17,0795;26,8771
20,5309;27,9300
23,7958;28,7898
27,0607;29,6921
30,3409;30,2294
33,4495;30,5947
36,3866;30,7880
39,1364;30,8093
41,9020;30,6587
44,4961;30,3146
46,9024;30,0132
49,3412;29,3251
51,4203;28,6794
53,3277;27,6471
55,0468;26,6148
56,7991;25,6247
58,1913;24,2481
