"Position (mm) Run #1";"Position (mm) Run #2"
4,0107;19,2000
5,3862;21,1125
6,7616;22,8316
8,1371;24,5942
9,5125;25,9697
10,9030;27,3670
12,1066;28,5925
13,3101;29,6681
14,5289;30,3560
15,5606;31,0659
16,5923;31,6039
17,6240;31,9920
18,6710;31,9920
19,5308;32,0362
20,4061;31,7142
21,0940;31,2202
21,7974;30,5321
22,3133;29,8879
22,8292;28,8776
23,3608;27,6731
23,7047;26,4905
24,0643;25,1358
24,2520;23,6087
24,2363;21,8879
24,4240;20,1885
24,4397;18,3169
24,2677;16,2517
24,1113;14,2077
23,7673;11,9913
23,4389;9,5606
22,9228;7,3441
22,4067;4,9344
21,9218;2,5247
21,0460;0,1150
20,3734;-2,3151
19,5132;-4,5525
18,6683;-6,7900
17,6207;-9,0475
16,7911;-11,1127
15,5714;-13,1581
14,5543;-15,4548
13,3499;-17,1364
12,1454;-19,2602
10,9410;-20,8089
9,7516;-22,4739
8,3750;-22,9706
6,9985;-23,6201
5,6219;-24,6524
4,2454;-25,7040
2,8688;-26,5833
1,5068;-27,2906
-0,0564;-27,8067
-1,4329;-28,3609
-2,8095;-28,5520
-4,1860;-28,5711
-5,5626;-28,3991
-6,9391;-28,2652
-8,3297;-27,7684
-9,5202;-27,0806
-10,9106;-26,4310
-12,1150;-25,4186
-13,3195;-24,2150
-14,5376;-23,0114
-15,5699;-21,7108
-16,6022;-21,5028
-17,6481;-19,9750
-18,5083;-18,2754
-19,3686;-16,4041
-20,2422;-14,3216
-20,9304;-12,4505
-21,6319;-10,3677
-22,1480;-8,5169
-22,6640;-6,2622
-23,1934;-4,2197
-23,5507;-1,9851
-23,7095;0,2289
-24,0800;2,6559
-24,0800;4,8904
-24,0800;7,1249
-24,0933;9,3804
-23,9213;11,4432
-23,7625;13,5271
-23,4186;15,4181
-23,0879;17,3304
-22,5720;19,0495
-22,0561;20,8117
-21,5535;22,1872
-20,8657;23,5626
-20,1912;24,9815
-19,3315;26,0132
-18,4852;27,0668
-17,4399;27,9703
-16,5938;28,4862
-15,5757;29,0241
-14,3584;29,3900
-13,3405;29,6060
-12,1369;29,4340
-10,9473;29,2839
-9,5579;28,9618
-8,3683;28,4896
-6,9788;27,6294
-5,7893;26,7910
-4,4139;25,7587
-3,0384;24,7699
-1,6630;23,3933
-0,2875;22,0384
1,0879;20,5112
2,4634;18,8118
3,8388;16,9187
5,2290;15,0470
6,4178;12,9817
7,8081;10,9165
9,0116;8,8722
10,2152;6,6139
11,4188;4,5694
12,6375;2,3113
13,6692;0,2666
14,7009;-1,9913
15,7325;-4,0768
16,7795;-5,9496
17,6393;-8,0551
18,5145;-9,7359
19,2023;-11,8808
19,8902;-13,1780
20,5935;-15,3024
21,1095;-16,7725
21,6409;-19,1077
21,9849;-20,4648
22,3289;-22,0523
22,6884;-23,2567
22,8760;-24,4804
22,8604;-25,5511
23,0636;-26,2393
22,8916;-26,9466
22,7196;-27,4626
22,5476;-28,0169
22,4067;-28,2080
21,8751;-28,2271
21,5466;-28,0933
21,0460;-27,5965
20,3424;-27,0617
19,8572;-24,8643
18,9816;-24,0238
18,3089;-23,0114
17,4486;-21,7884
16,6037;-20,7956
15,5714;-19,3811
14,5391;-18,2124
13,5068;-18,5801
12,4896;-17,0524
11,2851;-15,3333
10,0807;-13,6141
8,8763;-11,9149
7,6867;-10,0239
6,2954;-8,1530
5,1057;-6,0701
3,7291;-4,1994
2,3380;-2,1570
1,1481;0,0980
-0,2284;2,1402
-1,6194;4,3954
-2,8095;6,4790
-4,2003;8,3491
-5,3905;10,4328
-6,7812;12,3238
-7,9856;14,2359
-9,1900;15,9764
-10,3944;17,5237
-11,6127;19,0924
-12,6312;20,4679
-13,8494;21,8649
-14,8954;23,1118
-15,7420;23,9715
-16,7879;24,8531
-17,6617;25,5409
-18,3363;26,2724
-19,2100;26,6164
-19,9116;27,0040
-20,4277;27,0040
-20,9438;27,0258
-21,4732;26,8757
-21,8173;26,5316
-22,1613;26,2312
-22,5187;25,5431
-22,7040;24,8767
-22,7040;24,0382
-22,7040;23,0275
-22,7173;21,8447
-22,5453;20,4681
-22,3867;19,1130
-22,0427;17,5857
-21,6987;15,8649
-21,3682;14,1652
-20,8657;12,2722
-20,1643;10,3791
-19,6619;8,5070
-18,9875;6,4418
-18,1278;4,3558
-17,2680;2,4834
-16,4082;0,4182
-15,5621;-1,6471
-14,5304;-3,7529
-13,4987;-5,4536
-12,4808;-7,3466
-11,2772;-9,2597
-10,0737;-11,0005
-8,8701;-12,6486
-7,6665;-13,3169
-6,4629;-14,1177
-5,2735;-15,4942
-3,8838;-16,8905
-2,6803;-18,0949
-1,4911;-19,3188
-0,1156;-20,3706
1,2744;-21,2308
2,4634;-22,1104
3,8535;-22,7599
5,0570;-23,7342
6,2606;-25,4176
7,4642;-25,7808
8,6678;-25,9720
9,8863;-26,0104
10,9030;-25,6664
12,1216;-25,3609
13,1533;-24,7308
14,2002;-23,6238
15,0600;-21,4445
15,9197;-20,4323
16,7795;-19,2092
17,6546;-18,1971
18,3425;-17,0328
19,0458;-15,4658
19,5617;-14,1101
20,0776;-12,4833
20,6090;-11,6435
20,9685;-10,6517
21,1250;-9,3363
21,4845;-7,4252
21,6720;-5,7061
21,6720;-4,0275
21,6720;-1,9444
21,6875;-0,0534
21,5155;1,8376
21,3590;3,7285
21,0150;5,6195
20,6710;7,5104
20,3424;9,4224
19,8263;11,1415
19,3257;12,8606
18,6376;14,6010
17,9648;16,1696
17,0892;17,5450
16,4164;18,9419
15,5714;20,1670
14,5239;21,2202
13,6788;22,0800
12,6465;22,9614
11,6293;23,6710
10,4099;24,2086
9,3925;24,5526
8,1881;24,9183
6,9836;25,1120
5,7792;25,1338
4,5748;24,9835
3,3850;24,6612
1,9939;24,1451
0,7895;23,6507
-0,4005;22,9842
-1,7914;22,1456
-2,9959;21,1349
-4,2003;19,9304
-5,4047;18,7260
-6,6091;17,5643
-7,8135;15,9943
-9,0320;14,6390
-10,0503;13,1115
-11,2686;11,3906
-12,3010;9,6698
-13,3471;7,9489
-14,1935;6,2489
-15,2395;4,3558
-16,1134;2,4834
-16,7879;0,3977
-17,6617;-1,4954
-18,3634;-3,4088
-18,8659;-5,1296
-19,5676;-6,8505
-20,0971;-8,6115
-20,4411;-9,9480
-20,7852;-11,7087
-21,1426;-13,0654
-21,3146;-14,6339
-21,5000;-16,0499
-21,5000;-17,0429
-21,5000;-18,4586
-21,5134;-19,5495
-21,3414;-20,0460
-21,1828;-20,7342
-20,8388;-21,5582
-20,4949;-20,9451
-20,1643;-21,3086
-19,6484;-21,4806
-19,1460;-21,6526
-18,4581;-21,8440
-17,7703;-21,8634
-17,0960;-21,6914
-16,2362;-21,3835
-15,3764;-22,5901
-14,5167;-22,1129
-13,6706;-21,2532
-12,6389;-20,3934
-11,6073;-19,5531
-10,5895;-18,5605
-9,3719;-17,1458
-8,3543;-16,1732
-7,1507;-14,6061
-5,9471;-13,2307
-4,7435;-11,8950
-3,5400;-10,1559
-2,3364;-8,6286
-1,1328;-6,8893
0,0708;-5,3420
1,2744;-3,8353
2,4779;-1,9240
3,6815;-0,2048
4,8851;1,4937
6,0887;3,4054
7,3071;5,1245
8,3239;6,8436
9,5424;8,5628
10,5741;10,3029
11,6208;11,8502
12,4655;13,4187
13,5123;14,8154
14,3721;16,0189
15,2319;17,2225
16,1070;18,4689
16,7948;19,3287
17,4980;20,1885
17,9986;21,0914
18,7172;21,6073
19,0458;22,1232
19,5771;22,6824
19,9365;22,8544
20,0931;23,0480
20,4680;23,0696
20,4525;22,9193
20,6400;22,5752
20,6555;22,2744
20,4680;21,5647
20,4835;21,0917
20,3269;20,2315
19,9829;19,3928
19,6389;18,3605
19,3103;17,3495
18,7942;16,1664
18,2935;14,7899
17,6053;13,4345
16,9172;11,8647
16,2291;10,5302
15,5562;8,7884
14,6960;7,2606
13,8509;5,5397
12,8035;3,8395
11,9583;1,9259
10,9260;0,2050
9,8937;-1,5158
8,8763;-3,2570
7,6570;-4,8057
6,6395;-6,3544
5,4351;-7,9232
4,2307;-9,3198
3,0263;-10,6041
1,8218;-11,1002
0,6174;-11,5294
-0,6014;-14,6734
-1,6194;-15,7057
-2,8238;-16,6987
-4,0282;-18,1145
-5,2326;-19,1859
-6,4512;-19,8740
-7,4694;-20,5816
-8,6879;-21,0977
-9,7202;-21,6526
-10,7525;-21,8440
-11,7987;-21,8440
-12,6451;-21,9992
-13,6911;-20,5459
-14,5651;-19,8190
-15,2395;-19,4946
-16,1134;-18,9786
-16,8015;-18,4823
-17,5033;-17,7944
-18,0193;-17,1458
-18,5354;-16,0944
-19,0650;-15,0768
-19,4090;-15,7899
-19,7531;-14,5864
-20,1105;-13,3630
-20,2826;-12,3909
-20,4680;-10,8236
-20,4680;-9,4482
-20,4680;-8,0928
-20,4814;-6,5455
-20,3094;-4,9982
-20,1509;-3,4712
-19,8069;-1,7317
-19,4630;-0,2048
-19,1325;1,5143
-18,6166;3,2334
-18,1142;4,9733
-17,4128;6,5206
-16,9104;8,0679
-16,2362;9,6362
-15,3764;11,0116
-14,5167;12,3871
-13,6569;13,8049
-12,7971;14,8154
-11,9512;16,0402
-10,9195;17,0933
-9,8878;17,9530
-8,8561;18,8343
-7,8385;19,5436
-6,6208;20,0595
-5,6032;20,5970
-4,3854;20,9409
-3,3680;21,3280
-2,1644;21,3280
-0,9609;21,3496
0,2427;21,1776
1,4608;21,0271
2,4779;20,7046
3,6815;20,2100
4,8998;19,5219
5,9315;18,8552
6,9484;18,0164
8,1668;16,9841
9,1985;15,9517
10,2452;14,9619
11,0899;13,5642
12,1367;12,3809
12,9965;11,0254
13,8714;9,4767
14,5441;7,9280
15,4191;6,3793
16,1222;4,8306
16,6228;3,2819
17,3260;1,7538
17,8573;0,0124
18,2013;-1,5362
18,5452;-3,0849
18,8892;-4,6539
19,2486;-6,0305
19,4206;-7,4070
19,6080;-8,8839
19,6080;-9,2196
19,6080;-11,5638
19,6234;-11,0404
19,4514;-12,2249
19,2948;-13,6609
18,9508;-14,5212
18,6068;-15,3814
18,2781;-16,2416
17,7620;-17,1411
17,2460;-17,6768
16,7452;-18,0012
16,0570;-18,5564
15,3841;-18,7284
14,5087;-18,9200
13,8357;-18,9395
12,9755;-18,7676
12,1304;-18,6151
11,0831;-18,2712
10,2378;-17,9468
9,2055;-17,4505
8,1732;-16,7823
7,1409;-15,9225
6,1233;-15,0627
4,9042;-14,2029
3,8866;-13,3828
2,6675;-12,1394
1,6498;-11,1800
0,4454;-11,3394
-0,7735;-9,9240
-1,7914;-8,9324
-3,0102;-7,5569
-4,0425;-6,1815
-5,0606;-4,8060
-6,2791;-3,4712
-7,3115;-1,7317
-8,3438;-0,1844
-9,3761;1,3629
-10,4223;2,9102
-11,2825;4,4783
-12,1428;5,8329
-13,0030;7,4011
-13,8769;8,7765
-14,5514;10,1730
-15,4389;11,3766
-15,9414;12,6013
-16,6431;13,6118
-17,1592;14,8578
-17,6753;15,7176
-18,2049;16,5774
-18,5489;17,4585
-18,9065;18,1678
-19,0785;18,7051
-19,2505;19,0491
-19,4360;19,4145
-19,4360;19,6080
-19,4360;19,6080
-19,4495;19,6295
-19,2910;19,4575
-18,9335;19,3069
-18,7750;18,9843
-18,4311;18,4683
-18,1007;17,9736
-17,5847;17,2854
-17,0688;16,6400
-16,5665;15,5864
-15,8787;14,7474
-15,1908;13,7363
-14,5029;12,5318
-13,8288;11,3274
-12,9690;10,1440
-12,1093;8,7675
-11,2634;7,3909
-10,2177;6,0144
-9,3719;4,6585
-8,3402;3,0892
-7,3085;1,7332
-6,2769;0,1845
-5,2594;-1,3642
-4,0415;-2,9332
-3,0098;-4,3301
-1,9925;-5,5143
-0,7745;-6,8908
0,2572;-8,2874
1,2744;-9,4919
2,4925;-10,6963
3,5242;-11,9405
4,5559;-12,8404
5,5876;-13,2772
6,6193;-14,6398
7,6510;-14,4085
8,6975;-14,7327
9,5424;-15,2291
10,5891;-15,9369
11,4489;-16,4727
12,3237;-16,8363
13,0116;-17,0084
13,6843;-17,2000
14,5744;-17,2000
15,0752;-17,2196
15,7783;-17,0476
16,2942;-16,9149
16,8254;-16,3990
17,1694;-15,9028
17,5133;-15,1755
17,8726;-14,7327
18,0446;-15,4461
18,2166;-14,3216
18,4040;-12,1921
18,4040;-12,4635
18,4040;-11,8950
18,4194;-10,0560
18,2474;-9,4081
18,0907;-8,4166
17,7467;-7,0210
17,4027;-5,8174
17,0586;-4,6543
16,7299;-3,0867
16,2138;-1,7113
15,7130;-0,3563
15,0248;1,2116
14,3367;2,5870
13,6486;3,9831
12,9755;5,1660
12,1153;6,5622
11,2551;7,7450
10,3949;9,1623
9,5496;10,1730
8,5024;11,3976
7,6570;12,4293
6,6247;13,4822
5,5924;14,3632
4,5601;15,0510
3,5424;15,7389
2,3234;16,4481
1,2911;16,9853
0,2733;17,3293
-0,9455;17,6946
-1,9779;17,8880
-3,0102;17,8880
-4,0425;17,8880
-5,0748;17,9308
-6,1071;17,5867
-7,1394;17,2427
-8,1858;16,9200
-9,0320;16,4253
-10,0782;15,7371
-10,9385;15,0702
-11,7987;14,2100
-12,6727;13,3710
-13,3608;12,3387
-14,0490;11,3274
-14,7371;10,1230
-15,4389;8,9186
-15,9550;7,7142
-16,4711;6,5097
-17,0008;5,3261
-17,3448;3,9495
-17,6889;2,5730
-18,0464;1,1964
-18,2185;-0,1801
-18,3905;-1,5567
-18,5760;-2,9536
-18,5760;-4,1580
-18,5895;-5,3624
-18,4175;-6,5668
-18,2455;-7,7713
-18,0736;-9,0158
-17,9151;-9,8360
-17,5712;-11,0604
-17,2408;-12,1126
-16,7249;-12,9926
-16,2089;-13,6609
-15,7067;-14,5212
-15,0051;-15,4406
-14,5029;-15,7452
-13,8288;-16,5120
-12,9552;-16,5120
-12,2812;-16,5710
-11,4214;-15,9960
-10,5616;-16,0354
-9,7158;-15,6520
-8,6701;-15,6914
-7,8244;-15,3277
-6,7927;-15,1952
-5,7468;-14,6595
-4,9013;-14,1969
-3,8696;-15,0430
-2,8379;-14,3946
-1,8206;-13,2638
-0,6026;-13,1513
0,4291;-12,4635
1,4608;-11,8353
2,4925;-10,5918
3,5242;-9,7520
4,5706;-8,7604
