"Position (mm) Run #1";"Position (mm) Run #2"
-19,6620;-14,9504
-19,3720;-13,9716
-18,7111;-12,6227
-17,9325;-11,0754
-16,5842;-9,5547
-15,0912;-7,8623
-13,2003;-5,9714
-11,3641;-4,0804
-9,1570;-2,2165
-6,7507;-0,1266
-4,3444;1,7644
-1,9659;3,6553
0,6122;5,5737
3,2183;7,2929
5,6246;9,0672
8,0310;10,4150
10,4942;12,0177
12,5570;13,2491
14,6771;14,3087
16,4250;15,1964
18,0588;15,9401
19,1772;16,2841
19,7221;16,7120
20,1240;16,5400
20,1819;16,3959
19,8958;16,1358
19,2077;15,2756
18,5773;14,4432
17,4585;13,4388
17,1153;12,2621
15,6529;10,9133
13,5877;9,3922
11,5795;7,6713
9,1414;5,9779
6,9606;4,0849
4,3505;2,1919
2,1374;0,2988
-1,6180;-1,5942
-4,4277;-3,4873
-6,8650;-5,3803
-9,1300;-7,3269
-11,2226;-8,8489
-13,1703;-10,6230
-14,7462;-12,0262
-16,1499;-13,2306
-17,4357;-14,4879
-18,1508;-15,3745
-18,7210;-16,0890
-18,9470;-16,6577
-18,8291;-16,8297
-18,3402;-17,0543
-17,7064;-16,9086
-16,7290;-16,6173
-15,3807;-15,9294
-13,8879;-15,2943
-11,9969;-14,2891
-10,1609;-13,0855
-7,9263;-11,9350
-5,7194;-10,3877
-3,3131;-8,8671
-0,9068;-7,1479
1,4715;-5,4557
4,0777;-3,5647
6,5406;-1,6737
8,5750;0,2172
10,8950;2,1082
12,6141;4,0265
14,3906;5,7182
15,7948;7,6642
17,0559;9,2115
17,9446;10,8142
18,6902;12,0177
19,1209;13,2769
18,9778;14,1367
18,6916;15,0244
18,0323;15,7681
17,2297;16,1400
16,0829;16,3680
14,5629;16,1960
12,8992;16,0799
10,8340;15,5917
8,7972;14,9315
6,5597;14,0991
4,3787;13,0946
1,7406;11,9180
-0,4689;10,5691
-2,8786;9,0480
-5,3437;7,3272
-7,3813;5,6063
-9,6738;3,9128
-11,5942;2,0198
-13,3697;0,1267
-14,7735;-1,7934
-16,0050;-3,4873
-17,0916;-5,4072
-17,8339;-7,1549
-18,2320;-8,7303
-18,2590;-10,0802
-18,1412;-11,6820
-17,7064;-12,9130
-16,6747;-13,9717
-15,6974;-14,8584
-14,3492;-15,5993
-12,8565;-15,9433
-10,9929;-16,3400
-8,9576;-16,3663
-6,7231;-16,2207
-4,4885;-15,9294
-2,2818;-15,2679
0,1524;-14,4081
2,3589;-13,6013
4,7934;-12,4242
7,0280;-11,0754
9,2625;-9,5014
11,4400;-8,1794
14,1613;-6,4603
15,9667;-4,7411
17,1991;-3,0490
18,2885;-1,1580
19,0342;0,7601
19,4071;2,4520
19,6080;4,3703
19,6948;6,0895
19,2077;7,8637
18,5773;9,2391
17,5739;10,6146
16,4846;12,0177
14,7064;13,2769
12,0673;14,1924
9,7160;14,7083
8,3376;15,2522
5,6992;15,6241
3,3491;15,8240
1,9969;15,8799
-0,7573;15,5917
-3,5949;14,8478
-5,8323;14,5874
-8,1249;13,7829
-10,0180;12,5785
-11,9658;11,4295
-13,5690;9,8531
-14,7735;8,5318
-16,0594;6,8109
-16,7746;5,0900
-17,3449;3,3692
-17,5440;1,6756
-17,5982;-0,2446
-17,3084;-1,9384
-16,6476;-3,8854
-15,8422;-5,4072
-14,6930;-7,1549
-13,1457;-8,7303
-11,6531;-10,1068
-9,7896;-11,5366
-7,7269;-12,5689
-5,6918;-13,6277
-3,4572;-14,5407
-1,2227;-15,0832
1,0119;-15,4272
3,2464;-15,8240
5,5092;-15,8767
7,6003;-15,5327
9,4912;-15,2416
11,4392;-14,5537
13,0151;-13,9187
14,4192;-12,8870
15,6803;-11,9084
16,5976;-10,5330
17,1424;-9,1842
17,5152;-7,6637
17,7737;-5,9177
17,4585;-4,4242
17,0000;-2,5062
16,1974;-0,7871
14,9930;0,9049
13,8459;2,8504
12,3543;4,3703
10,4613;6,1169
8,5967;7,6917
6,5314;9,0672
4,5226;10,4703
2,0848;11,7016
-0,1806;12,7611
-2,2180;13,6765
-4,4832;14,1924
-6,5484;14,7362
-8,6687;15,1360
-10,3896;15,1639
-12,1652;15,0198
-13,5690;14,6758
-14,8279;14,4154
-15,7153;13,5551
-16,4577;12,7227
-16,8289;11,7182
-17,0551;10,5414
-16,9373;9,1649
-16,4485;7,8434
-15,8150;6,0951
-14,8105;4,5738
-13,6615;2,8529
-12,1415;1,1321
-10,4224;-0,5888
-8,7582;-2,3097
-6,7507;-4,0305
-4,3998;-5,7782
-1,6500;-7,3537
1,2118;-8,7303
3,2464;-10,1068
5,5092;-11,5366
7,6003;-12,5954
9,4912;-13,4821
11,5818;-14,1967
12,1555;-14,7128
13,5595;-15,3080
14,7918;-15,3080
15,8810;-15,3344
16,5689;-15,2152
17,2855;-14,7257
17,8880;-14,0642
17,8880;-13,2044
18,0034;-12,3977
17,3730;-11,1941
16,4846;-10,0438
14,5629;-8,4698
12,8134;-7,1211
11,3218;-5,6007
9,4287;-3,8546
7,5640;-2,3614
5,5271;-0,4433
3,2615;1,2759
1,2243;3,0223
-1,0411;4,5696
-3,1064;6,1169
-5,1716;7,6917
-7,2921;9,0948
-9,0129;10,2983
-10,7612;11,5574
-12,3646;12,4171
-13,5963;13,3325
-14,6559;13,8485
-15,5705;14,4201
-16,1408;14,6200
-16,3400;14,6200
-16,3671;14,7037
-16,2766;14,1876
-15,6159;13,6993
-14,7833;13,0668
-13,8061;12,0345
-12,4307;11,0299
-11,1100;9,8255
-9,4184;8,6763
-7,5274;7,1276
-5,6641;5,5789
-3,6013;4,0302
-1,5664;2,5360
0,6961;0,5886
2,7588;-0,9330
4,8498;-2,6538
6,7407;-4,4016
8,6601;-5,9503
10,4077;-7,5258
12,0121;-8,9291
13,2157;-10,1335
14,4766;-11,3911
15,3938;-12,2513
15,9097;-13,1380
16,5120;-13,8526
16,5696;-14,3951
16,2543;-14,7920
15,7670;-14,7920
15,1363;-14,8448
14,1327;-14,5009
12,9569;-14,2362
11,6089;-13,3499
10,1171;-12,7151
8,2241;-11,6834
6,3310;-10,6783
4,4662;-9,5014
2,3728;-8,1527
0,5078;-6,6322
-1,5853;-4,8593
-3,4784;-3,5377
-5,3160;-1,8186
-7,6086;-0,0723
-9,5567;1,4478
-11,1602;3,1942
-12,3646;4,7415
-13,6236;6,3163
-14,5111;7,6917
-15,2264;9,1224
-15,8240;10,1541
-15,8512;11,1857
-15,7063;12,2729
-15,4168;12,9886
-14,7561;13,5323
-13,9508;13,9042
-12,7472;14,1040
-11,5984;14,1319
-10,0785;13,9877
-8,3869;13,6715
-6,4960;13,2111
-4,6327;12,3508
-2,5700;11,5184
-0,5072;10,5137
1,5836;9,3369
3,4464;7,9604
5,5374;6,6113
7,4567;5,0626
9,2042;3,5413
10,7800;1,7932
12,1840;0,2716
13,4448;-1,4763
14,3333;-3,0250
15,0499;-4,5737
15,6233;-6,1493
15,8240;-7,5258
15,8815;-8,9291
15,5662;-10,1335
15,1076;-11,3911
14,2760;-12,2513
13,3010;-13,1645
11,9244;-13,7071
10,6049;-14,0511
8,8840;-14,4480
7,1915;-14,4744
5,2985;-14,3289
3,4336;-14,0113
1,3683;-13,4954
-0,7249;-13,0590
-2,5901;-12,0008
-4,6830;-11,1941
-6,6314;-9,9906
-8,1525;-8,8137
-9,9283;-7,4382
-11,3323;-6,0896
-12,5914;-4,5423
-13,4516;-3,0220
-14,3663;-1,2758
-14,9368;0,2444
-15,1360;1,9908
-15,1632;3,5381
-15,0456;5,1128
-14,5569;6,4882
-13,9236;7,8912
-12,9192;9,1224
-11,7430;10,1541
-10,3949;11,2134
-8,8751;12,1010
-7,1560;12,8444
-5,4645;13,1884
-3,5736;13,5602
-1,7105;13,7600
0,3802;13,8157
2,2151;13,4716
4,5341;13,1832
6,2533;12,4951
8,0008;11,8347
9,5765;11,0299
10,9804;9,7978
12,1840;8,8207
13,4735;7,4442
14,1613;6,0951
14,8779;4,5464
15,3938;2,9977
15,9097;1,4490
16,5696;-0,0725
16,2831;-1,8475
15,6237;-3,1971
14,8209;-4,7458
13,6165;-6,3482
12,4692;-7,5258
10,9205;-8,9291
9,5995;-10,1601
6,4748;-11,2456
4,8668;-11,9072
2,3728;-12,8205
0,4798;-13,3630
-1,4132;-13,7335
-3,3063;-13,9320
-5,2270;-13,9585
-6,9755;-13,8129
-8,5242;-13,4954
-10,1278;-13,0060
-11,3323;-12,3181
-12,5914;-11,6834
-13,4789;-10,6783
-14,2215;-9,4747
-14,5928;-8,2712
-14,8192;-7,1211
-14,6744;-5,5738
-14,3577;-4,0265
-13,8963;-2,4522
-13,0638;-1,1309
-12,0595;0,6154
-10,8833;2,1899
-9,5353;3,5381
-8,0156;5,1128
-6,2964;6,5157
