"Position (mm) Run #1";"Position (mm) Run #2"
-14,6673;-18,8809
-13,3193;-20,3364
-11,8271;-21,2229
-9,9362;-21,9635
-8,1007;-22,3600
-5,8383;-22,4124
-3,8314;-22,0947
-1,3970;-21,6312
0,8375;-20,8240
3,0721;-19,6468
5,3350;-18,2977
7,4263;-16,8034
9,3172;-14,9390
11,2656;-12,9029
12,8417;-10,6684
14,2748;-8,4607
15,3354;-6,0814
16,2242;-3,5033
16,9700;-0,9253
17,3720;1,6528
17,4300;4,2584
17,1440;6,6647
16,4849;9,0988
15,6825;11,3612
14,5070;13,4520
13,1593;15,3710
11,6680;17,1465
9,7750;18,5502
7,9105;19,8104
5,8737;20,6985
3,6363;21,4716
1,3988;21,6720
-0,8386;21,7004
-3,1041;21,5852
-5,1693;21,1259
-7,2624;20,3224
-9,1554;19,1180
-11,1313;17,9983
-12,5078;16,2774
-13,9393;14,6127
-14,9990;12,5475
-15,9139;10,5380
-16,4847;8,1283
-16,6840;5,7186
-16,7386;3,3365
-16,4493;0,7271
-15,7888;-1,6553
-14,9564;-4,2644
-13,9796;-6,7011
-12,6591;-8,9385
-10,9400;-11,2028
-9,2485;-13,3214
-7,4131;-15,0422
-5,1507;-16,8161
-3,1159;-18,2191
-0,8813;-19,4762
1,3814;-20,3891
3,4442;-20,9314
5,5069;-21,3280
7,5982;-21,3543
9,5464;-21,2348
11,0937;-20,7715
12,6697;-19,9380
14,1317;-18,9327
14,9915;-17,7820
15,9092;-16,2877
16,4830;-14,3967
16,6840;-12,5591
16,7420;-10,3246
16,4559;-8,0900
15,7967;-5,8825
14,9943;-3,5033
13,8187;-0,8980
12,4709;1,4809
10,9797;4,1140
9,0866;6,3209
7,2221;8,7828
5,1569;10,8734
3,1199;12,7643
0,8543;14,7114
-1,1828;16,2587
-3,4483;17,8906
-5,5414;18,9223
-7,4345;20,0390
-9,3552;20,5833
-11,1313;20,9556
-12,5354;21,2128
-13,7672;20,8971
-14,8544;20,4378
-15,5699;19,6059
-16,1407;18,6301
-16,3673;17,2818
-16,2500;15,7612
-15,7614;14,0964
-15,1010;12,0312
-14,2960;9,9938
-13,1199;7,7563
-11,7720;5,5465
-10,2524;3,1368
-8,5609;0,7271
-6,6978;-1,6825
-4,6350;-4,1194
-2,6002;-6,3568
-0,3376;-8,5943
1,7252;-10,8853
3,7880;-12,7784
5,8791;-14,7246
7,7986;-16,2999
9,5464;-17,7029
11,1224;-18,9601
12,5266;-19,8730
13,7590;-20,4154
14,8773;-20,7857
15,3932;-21,0366
15,9671;-20,7189
16,1970;-20,2293
16,0829;-19,5941
15,5957;-18,6152
14,9365;-17,2662
14,1340;-15,7189
12,9584;-14,2248
11,6393;-12,3606
9,9184;-10,2978
8,2262;-8,2888
6,3331;-5,8555
4,4685;-3,6481
2,4315;-1,2418
0,1659;1,1646
-1,9274;3,5709
-3,7925;6,0324
-5,8856;8,0675
-7,8064;10,3577
-9,5827;12,2766
-10,9592;14,0237
-12,3633;15,5991
-13,6227;17,0027
-14,5377;18,2628
-15,0538;19,1791
-15,6520;19,6951
-15,6794;20,2960
-15,5621;20,3243
-15,0736;20,2090
-14,4406;19,7213
-13,4089;19,0614
-12,4597;18,2860
-10,9124;16,9094
-9,3928;15,5891
-7,7014;13,8682
-5,8104;12,2033
-3,9474;10,1659
-1,8846;7,9285
0,1781;5,6910
2,2409;3,4811
4,3320;1,0440
6,2230;-1,1662
8,1710;-3,6030
9,7183;-5,8405
11,3230;-8,1318
12,5266;-10,0249
13,8166;-11,9179
