"Time (s) Run #1";"Position (mm) Run #1";"Time (s) Run #2";"Position (mm) Run #2";"Time (s) Run #3";"Position (mm) Run #3"
0,000;-0,1720;0,000;61,2320;0,000;123,1520
0,010;-0,1720;0,010;61,2320;0,010;123,1520
0,020;-0,1720;0,020;61,2320;0,020;123,1520
0,030;-0,1720;0,030;61,2320;0,030;123,1520
0,040;-0,1720;0,040;61,2320;0,040;123,1520
0,050;-0,1720;0,050;61,2320;0,050;123,1520
0,060;-0,1720;0,060;61,2320;0,060;123,1520
0,070;-0,1720;0,070;61,2320;0,070;123,1520
0,080;-0,1720;0,080;61,2320;0,080;123,1520
0,090;-0,1720;0,090;61,2320;0,090;123,1520
0,100;-0,1720;0,100;61,2320;0,100;123,1520
0,110;-0,1720;0,110;61,2320;0,110;123,1520
0,120;-0,1720;0,120;61,2320;0,120;123,1520
0,130;-0,1720;0,130;61,2320;0,130;123,1354
0,140;-0,1825;0,140;61,2320;0,140;123,3240
0,150;0,0000;0,150;61,2320;0,150;123,3240
0,160;0,0000;0,160;61,2320;0,160;123,3240
0,170;0,0000;0,170;61,2320;0,170;123,3240
0,180;0,0000;0,180;61,2320;0,180;123,3240
0,190;0,0000;0,190;61,2320;0,190;123,3240
0,200;0,0000;0,200;61,2320;0,200;123,3240
0,210;0,0000;0,210;61,2320;0,210;123,3240
0,220;0,0000;0,220;61,2320;0,220;123,3240
0,230;0,0000;0,230;61,2320;0,230;123,3240
0,240;-0,0105;0,240;61,2320;0,240;123,3240
0,250;0,1720;0,250;61,2320;0,250;123,3240
0,260;0,1720;0,260;61,2320;0,260;123,3240
0,270;0,1720;0,270;61,2320;0,270;123,3240
0,280;0,1720;0,280;61,2320;0,280;123,3240
0,290;0,1720;0,290;61,2320;0,290;123,3240
0,300;0,1720;0,300;61,2320;0,300;123,3240
0,310;0,1720;0,310;61,2320;0,310;123,3240
0,320;0,1720;0,320;61,2320;0,320;123,3240
0,330;0,1720;0,330;61,2320;0,330;123,3240
0,340;0,1720;0,340;61,2320;0,340;123,3240
0,350;0,1720;0,350;61,2320;0,350;123,3240
0,360;0,1720;0,360;61,2320;0,360;123,3240
0,370;0,1615;0,370;61,2320;0,370;123,3240
0,380;0,3440;0,380;61,2320;0,380;123,3240
0,390;0,3440;0,390;61,2320;0,390;123,3240
0,400;0,3440;0,400;61,2320;0,400;123,3407
0,410;0,3440;0,410;61,2320;0,410;123,1520
0,420;0,3440;0,420;61,2320;0,420;123,1520
0,430;0,3440;0,430;61,2320;0,430;123,1520
0,440;0,3440;0,440;61,2320;0,440;123,1520
0,450;0,3440;0,450;61,2320;0,450;123,1520
0,460;0,3440;0,460;61,2320;0,460;123,1520
0,470;0,3440;0,470;61,2456;0,470;123,1520
0,480;0,3440;0,480;61,0600;0,480;123,1520
0,490;0,3440;0,490;61,0600;0,490;123,1520
0,500;0,3440;0,500;61,0600;0,500;123,1520
0,510;0,3440;0,510;61,0600;0,510;123,1520
