"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
46,0056;11,0768;-20,4211;14,4845;20,3006;-5,0864;7,7741;-3,6761;-14,1552;26,6702;26,1799;8,3926;1,1489
51,5392;12,1085;-20,9528;12,4192;18,5974;-4,0547;7,3960;-7,2709;-11,7489;28,2355;25,8538;7,0160;-0,0721
56,7109;13,1575;-21,2968;10,3540;16,7043;-3,0395;7,4130;-2,8345;-9,3587;29,6291;25,3377;5,6564;-1,0878
61,7311;14,0172;-21,6720;8,3058;14,8113;-1,8359;7,2410;-1,9582;-6,7807;30,8327;24,8575;4,0908;-2,3088
66,4087;14,8770;-21,6564;6,0684;12,9356;-0,6323;7,0520;-1,2703;-4,2026;32,0727;23,9972;2,7143;-3,3411
70,7437;15,7543;-21,8596;3,8309;10,8875;0,5879;7,1030;-0,5991;-1,6245;32,9508;23,1370;1,3377;-4,3734
74,7359;16,4596;-21,6876;1,5935;8,6330;1,6029;6,5700;0,2773;0,9535;33,6570;22,3124;-0,0222;-5,4057
78,3852;16,9755;-21,5311;-0,6606;6,5847;2,8065;6,2090;0,9652;3,5316;34,1913;21,1079;-1,5874;-6,4544
81,7330;17,4914;-21,2028;-2,7093;4,3473;4,0100;6,0539;1,6363;6,1097;34,5536;19,9212;-2,9640;-7,3146
84,3527;18,0249;-20,6868;-4,9468;2,1098;5,2305;5,7437;2,5129;8,7048;34,7440;18,5446;-4,3405;-8,1748
86,6292;18,3864;-20,1866;-7,2005;-0,1276;6,2453;5,0387;3,2008;11,1111;34,7808;17,1856;-5,7171;-9,0350
88,6044;18,5584;-19,5144;-9,2658;-2,3816;7,4659;4,5733;3,8886;13,5174;34,4551;15,6543;-7,1099;-9,9114
89,8714;18,7480;-18,6546;-11,3310;-4,4304;8,4976;3,4905;4,5765;15,9412;33,9390;13,9335;-8,2981;-10,5995
