"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
46,0056;11,0768;-20,4211;14,4845;20,3006;-5,0864;7,7741;-3,6761
51,5392;12,1085;-20,9528;12,4192;18,5974;-4,0547;7,3960;-7,2709
56,7109;13,1575;-21,2968;10,3540;16,7043;-3,0395;7,4130;-2,8345
61,7311;14,0172;-21,6720;8,3058;14,8113;-1,8359;7,2410;-1,9582
66,4087;14,8770;-21,6564;6,0684;12,9356;-0,6323;7,0520;-1,2703
70,7437;15,7543;-21,8596;3,8309;10,8875;0,5879;7,1030;-0,5991
74,7359;16,4596;-21,6876;1,5935;8,6330;1,6029;6,5700;0,2773
78,3852;16,9755;-21,5311;-0,6606;6,5847;2,8065;6,2090;0,9652
81,7330;17,4914;-21,2028;-2,7093;4,3473;4,0100;6,0539;1,6363
84,3527;18,0249;-20,6868;-4,9468;2,1098;5,2305;5,7437;2,5129
86,6292;18,3864;-20,1866;-7,2005;-0,1276;6,2453;5,0387;3,2008
88,6044;18,5584;-19,5144;-9,2658;-2,3816;7,4659;4,5733;3,8886
89,8714;18,7480;-18,6546;-11,3310;-4,4304;8,4976;3,4905;4,5765
90,6016;18,7480;-17,8106;-13,4122;-6,6679;9,5464;3,0080;5,2813
91,0304;18,7656;-16,7947;-15,3053;-8,9216;10,3890;2,1143;5,7802
90,7287;18,5936;-15,5911;-17,2141;-11,0029;11,4379;1,6651;6,4851
90,1252;18,4391;-14,3875;-18,9507;-12,8799;12,3149;0,4274;7,0010
88,7909;18,1127;-13,2159;-20,4837;-14,9611;13,0028;-0,4661;7,5169
87,1331;17,5966;-11,6525;-22,2357;-16,8699;13,6907;-0,8992;8,0328
84,9374;17,0805;-10,2771;-23,6277;-18,5908;14,3785;-2,3253;8,7880
82,4179;16,5994;-8,9178;-24,8321;-20,3273;15,0838;-3,1691;6,4534
79,3604;15,7217;-7,3868;-26,0673;-21,8916;15,6171;-4,2342;9,2538
75,9783;15,0510;-5,6513;-26,9275;-23,2681;15,9611;-4,9060;9,5977
72,0583;14,2082;-4,1204;-27,7877;-24,6601;16,3051;-5,7335;9,9589
67,7931;13,1585;-2,4013;-28,6784;-25,8799;16,6665;-6,9379;10,2853
63,1825;12,3329;-0,6655;-29,2096;-26,9275;16,8560;-8,1910;8,9088
58,2068;11,1112;0,8651;-29,5688;-27,8030;16,8560;-8,8468;7,0899
53,0970;10,0961;2,5842;-29,7560;-28,5063;16,8560;-9,8791;10,4920
47,4307;8,8917;4,3202;-29,7560;-29,0224;16,8735;-10,9436;10,4920
41,5915;7,6872;5,8675;-29,7863;-29,5688;16,7190;-11,5996;10,5264
35,5794;6,4998;7,4148;-29,4424;-29,7408;16,3749;-12,6639;10,4227
29,3944;5,1232;8,9621;-29,1288;-29,9432;16,0309;-13,3041;7,1239
23,0186;3,7299;10,5094;-28,4409;-29,7712;15,7043;-14,5882;10,1823
16,6603;2,5422;12,0912;-27,7836;-29,6143;15,1882;-14,9481;10,0785
10,0947;1,1657;13,2775;-26,7519;-29,3007;14,6895;-15,0406;6,8311
3,7358;-0,2109;14,6703;-25,7355;-28,6129;14,0188;-16,0412;9,3222
-2,8127;-1,5874;15,8739;-24,5320;-27,9403;13,1412;-17,2914;8,9953
-9,3773;-2,9805;17,0950;-23,3593;-27,0958;12,4704;-20,4679;8,4792
-15,7531;-4,1685;18,1442;-21,8120;-26,0641;11,6102;-18,4512;8,2362
-22,1600;-5,5614;19,0040;-20,2804;-25,0632;10,7671;-18,1084;4,4247
-28,1906;-6,7658;19,8814;-18,5612;-23,6877;9,7348;-15,4641;6,9310
-34,2361;-7,9702;20,5693;-16,8579;-22,3278;8,7025;-15,3979;6,4319
-40,1087;-9,1747;21,2749;-14,9828;-20,7961;7,6702;-18,3411;5,7437
